ntaName,diff_days
Parkchester,8.151903935185185
Arden Heights,13.552125633818342
Stapleton-Rosebank,13.590552160493827
Brooklyn Heights-Cobble Hill,13.6134375
Grymes Hill-Clifton-Fox Hills,13.971285445601852
Pelham Parkway,15.554192708333332
New Springville-Bloomfield-Travis,16.357459031452084
Fresh Meadows-Utopia,16.903434193121694
Rossville-Woodrow,16.951698916756563
Annadale-Huguenot-Prince's Bay-Eltingville,17.54888161599099
Crown Heights South,17.588159722222223
Soundview-Bruckner,17.667200360082305
Great Kills,18.160640490114172
Westerleigh,18.267460553665913
Melrose South-Mott Haven North,18.63110398860399
New Brighton-Silver Lake,19.136230709876543
New Dorp-Midland Beach,19.658543221393035
Old Town-Dongan Hills-South Beach,20.319452160493825
park-cemetery-etc-Brooklyn,20.882392939814814
Washington Heights North,21.39855324074074
Battery Park City-Lower Manhattan,21.42061921296296
Oakwood-Oakwood Beach,21.64490444659776
Grasmere-Arrochar-Ft. Wadsworth,21.69861328125
Spuyten Duyvil-Kingsbridge,22.00642781986532
Mariner's Harbor-Arlington-Port Ivory-Graniteville,22.192131207912457
Pomonok-Flushing Heights-Hillcrest,22.87219259259259
Bath Beach,23.12782728909465
Soundview-Castle Hill-Clason Point-Harding Park,23.61859953703704
West New Brighton-New Brighton-St. George,23.735482896090534
Bensonhurst West,24.128099335748793
Ft. Totten-Bay Terrace-Clearview,24.19003885582011
North Corona,24.52248299319728
park-cemetery-etc-Bronx,25.065532407407407
East Flatbush-Farragut,25.391411072530865
Van Cortlandt Village,25.395791802832242
Fordham South,25.45689814814815
Charleston-Richmond Valley-Tottenville,26.384277878421898
Rugby-Remsen Village,26.385952932098764
Sunset Park East,26.472085769980506
West Farms-Bronx River,26.635391865079363
Kingsbridge Heights,27.47777356902357
Claremont-Bathgate,28.170691229423866
Clinton Hill,28.60644255050505
Erasmus,28.6458983686067
Hunts Point,28.685264423076923
West Concourse,28.740995370370374
East Tremont,29.034682418699187
Morningside Heights,29.061255787037034
Flatbush,29.147041729229233
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,29.34324074074074
Bedford,29.37685343013468
Mott Haven-Port Morris,29.86609297839506
Port Richmond,29.936448863636365
Upper East Side-Carnegie Hill,29.947054398148147
Eastchester-Edenwald-Baychester,30.038019290123454
